gesture,person,sample,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X1.1,X2.1,X3.1,X4.1,X5.1,X6.1,X7.1,X8.1,X9.1,X10.1,X11.1,X12.1,X13.1,X14.1,X15.1,X16.1,X17.1,X18.1,X19.1,X20.1,X1.2,X2.2,X3.2,X4.2,X5.2,X6.2,X7.2,X8.2,X9.2,X10.2,X11.2,X12.2,X13.2,X14.2,X15.2,X16.2,X17.2,X18.2,X19.2,X20.2
left,0,0,-3.8217444,-4.0153756,-3.9909847,-3.9909847,-3.981707,-3.8813002,-3.6791399,-0.66962826,-0.66962826,-0.66962826,-0.8831611,-0.9980828,-0.9980828,-0.9980828,-0.7226,-0.65750766,-0.35748425,-0.25453356,-0.12479776,-0.06194998,-3.1598973,-3.2155626,-3.458574,-3.458574,-3.6067152,-3.6067152,-3.6067152,-0.65870476,-0.65870476,-0.65870476,-1.616984,-1.8712183,-1.8712183,-1.8712183,-1.1810896,-0.10699089,0.7425018,1.0483611,1.2599486,1.3706805,1.9261353,1.9331683,1.925836,1.7732056,1.7732056,1.5858593,1.4932337,0.27263972,-0.08738836,-0.08738836,-0.08738836,-0.046088383,0.06569091,0.06569091,0.012419921,0.11447277,-0.003890578,-0.006434417,-0.034117375,-0.058957215
right,0,0,0.11058219,0.0568071578421052,-0.00233907215789473,-0.0983670412105265,-0.1945289,-0.1945289,-0.163853174736842,0.00531607252631592,0.444935611578948,0.913427362105263,1.76025018421053,2.3386230631579,3.52847844210526,4.23257854736842,5.34003868947369,5.495291,5.495291,5.495291,5.24408926315789,4.8843214,-0.06703765,-0.480376078947368,-0.6666355,-1.0485107,-0.812067542105263,-1.2219406,-1.2219406,-1.80993772631579,-3.13565604736842,-3.44686281052632,-3.520075,-3.3909378,-3.01317376315789,-2.38406573157895,-1.33438155789474,-0.91057631473684,0.983512840000001,1.73900952105263,3.21706676315789,3.3038489,-0.28640637,-0.28640637,-0.28640637,-0.104084767368421,0.340205035789474,0.36945525,0.36945525,-0.00981308052631641,-0.483471213684211,-0.5201403,-0.5201403,-0.044339985263157,0.449818523157895,0.935668222105263,1.08407720052632,1.3632301,1.3736732,1.3620015,1.19717955789474,1.1468226
up,0,0,4.460697,3.50181919473684,3.4030585,2.72129383157895,-1.29052990526316,-2.06695997894737,-3.11692767368421,-3.29680784736842,-4.0231171,-4.37478932631579,-4.56430934210526,-4.58681002105263,-4.6158714,-4.57987926315789,-4.53914637894737,-4.27137389473684,-4.10582752631579,-3.5596502,-3.44346841052632,-2.9227216,4.44289,4.36096737894737,3.1256304,1.15432028421053,1.1188403,1.15223322631579,1.31179413684211,1.3215994,1.3215994,0.894053194736842,0.7921815,0.388246592105263,0.311254095263158,-0.0594848863157891,-0.134043789473684,-0.18016368,-0.18016368,0.11791443,0.284886383157895,0.29194298,0.80699569,0.504837903157895,0.199151894736842,-4.73210827368421,-9.11762457894737,-11.6394352105263,-13.1591546842105,-15.2139155789474,-15.552884,-15.552884,-14.9960587368421,-13.4502552105263,-12.3943088947368,-12.113014,-12.113014,-12.113014,-12.2169108421053,-12.2248811052632,-12.0949321578947,-12.212973
down,0,0,-2.8241105,-1.71059410694737,-0.030825347,-0.030825347,-0.0338181,0.0753543452105264,0.502262564210527,0.923484557894737,2.39835215789474,6.00576842631579,8.358158,7.91601848421052,2.78363756842105,0.283334859473684,0.07751228,0.129082121578947,0.0892312684210524,0.056114104,0.0509476686315795,0.08619126,0.866701,0.60109425,0.307891170526316,0.14335282,0.0935313784210526,0.103218445789474,0.159875963684211,0.327856,0.118804378947368,-0.082300685,0.52373165,0.662343313157894,-0.0642339089473695,-0.364454196842106,-0.53899467,-0.42916065,-0.39680742,-0.116677952631579,0.013916298,-0.06778584,-10.749367,-7.60521310568421,0.169673294736842,0.2009633,0.118048316842105,-1.37676047894737,-3.98546370526316,-5.5804748,-5.66060948421053,-5.6035741,-2.37711151578947,5.78083942105264,8.907927,7.62319373157894,2.2616464736842,-0.530103040526317,-1.1253142,-1.10301035263158,-0.76075757,-0.5032313
square,0,0,0.023642741,0.016609775,0.07751228,1.42669215789474,3.29042853684211,4.7450085,3.85996506315789,2.23872815789474,2.28849447368421,4.16224093684211,5.304653,3.80805668421053,3.0038254,3.2789302368421,2.22163807368421,0.506310650526316,0.498750011052632,0.553706399473684,0.777036589473684,1.1996446,0.25258827,0.12210429,-0.684844088421053,-2.57177424210526,-1.58294538421053,5.61605688421053,5.3461974368421,1.28497748421052,-0.239128775789474,-0.55799866,-0.300369932631579,2.0751428,4.427777,0.968312832631579,-3.1024365,-1.62366248421052,0.0510500507368433,1.06966473684211,1.1736077,0.9784803,-0.2605191,-0.110440426842105,0.590422712631579,0.676251694210526,0.646229689473684,1.7636288,0.597534470526314,0.23867199,6.17170864210526,5.27415063157895,-2.87431004210526,-4.336348,-0.729798347368419,-0.159143530526316,-0.00272490747368419,0.15188217,-0.13856442,0.530071525789474,0.8777742,0.36870706
triangle,0,0,1.4679449,1.3615526,1.42773966315789,1.96077234210526,0.0310301135789475,-0.293707107894737,-0.0532788658947377,2.01561856315789,1.84492930526316,-0.601267568421052,-0.662776463157895,0.110676698842105,2.70911803157894,3.070414,-0.783699394210522,-2.37145683157895,-2.5996542,-2.41441845263158,-2.3108535,-2.1124341,1.1839328,0.992247,0.76630206,-6.46851106315789,-8.17862421052632,-9.20871442105263,-9.907955,-8.45820260526316,1.23209242263158,3.7717655,1.7652749,3.120393,0.627068205263166,-5.766734,-5.33234394736842,-3.3256328,-2.11789188421053,-1.86760333684211,-1.8653824,-2.273145,0.20440497,0.2709937,0.3426701,7.2699933,6.43611031578947,3.59186967894737,2.56426877894737,2.32428941052632,1.90679265789474,1.6934488,4.57288582105263,10.4995195789474,10.3827705263158,-3.48839915263156,-8.016236,-4.859001,-0.945323756842105,-0.06599019,-0.5102642,-0.48153383
circleCw,0,0,-2.173636,-2.23201807894737,-2.1893477,5.8757804,6.769306,7.354838,6.84933038947368,6.2591915,5.99445105263158,5.77991777894737,5.49425952631579,4.51156614736842,2.80242103157895,1.86153124736842,-0.0934132419999988,-0.48871642,-0.0641236502631591,0.347175006842104,0.83378077,0.78499891,-2.2707508,-1.82094010526316,-1.70883783157895,-1.09017295789474,1.17607286315789,5.0520256,5.7586536,4.97283548421053,3.50378818421053,2.49851482105263,2.0566192,1.87845603157895,0.268229336842111,-0.9305963,-0.71922923789474,1.05919016842105,1.63639752105263,2.1342812,2.22774954736842,2.2385786,-0.20231004,0.032022446,0.14308506,5.51064908947368,6.1285577,5.17742196842105,3.04459762105263,2.43852575789474,1.28959261052632,-0.335936425263157,-2.08673586315789,-2.752434,-1.90631223684211,-1.24386656842105,0.0517194821052614,0.84126264,0.819998324210526,0.476068109473684,0.413086419473684,0.4405331
circleCcw,0,0,0.6217443,0.615364968421053,0.6151602,0.59106857,0.5864298,0.485621294736842,0.24525604,0.261716174210526,0.83288294,0.83288294,0.689845144210526,-0.203727664210526,-0.355397193684211,-0.40102878,-0.44143093,-0.451574791052632,-0.487873735789474,-0.5361515,-0.686891765789474,-0.82360536,2.3066636,2.2272062,2.18574075263158,2.1277286,2.249447,2.34181277368421,2.70248666315789,3.16326801578947,3.77404942105263,4.574721,4.574721,4.24010756842105,3.52358748421053,2.40118742105263,1.78231785789474,1.50468490526316,1.4838065,1.49363532105263,1.66608872631579,1.7663223,0.2551321,0.105675657894737,0.08016638,-0.0246902054736842,-2.90514328947368,-3.0029275,-2.842516,-2.10149475789474,-0.916924192105262,-0.055066638,-0.055066638,-0.0638873849473685,-0.336101821052632,-0.4950012,-0.4950012,-0.122750089473682,0.337810837894737,0.36975452,0.36430456,0.14649528
left,0,1,-0.88510644,-0.805215712105263,-0.732444604210526,-0.595778213157895,-0.255392025263158,-0.164790378947368,0.1824555,0.232576227368421,0.3510498,0.3510498,0.30765492,0.30765492,0.30765492,0.23089083,0.287453843684211,0.352680094736842,0.248162156842105,0.328761682105264,0.460261637368422,0.22385786,1.6199767,1.51801843157895,1.3636475,1.32615933157895,0.762041298947368,0.298156865789474,0.27114335,0.27114335,0.31586923631579,0.424766034210527,0.587178,0.593423387368421,0.597235210526316,0.623988836842105,0.58987147,0.582665217368421,0.58074355,0.58074355,0.649498102631579,0.825401,-0.24944589,-0.62035812,-0.43110594,-0.402682670526316,-0.02124854,-0.0193583807894737,0.042347442,0.042347442,0.0352199688421053,0.006135142,0.020201078,-0.00443399842105267,-0.000590674631578879,0.0157592034736842,0.07811083,-0.0285886585789474,0.0452220595263161,-0.030746590684211,-0.138202142105264,-0.0724246
right,0,1,0.36077628,0.08454525,0.000898,0.152346838947368,0.952459157894738,2.00583697894737,2.91260152105263,5.76412723157895,8.42143952631579,9.405921,5.90499934210526,1.94497378947368,-0.0840963352631579,-0.19318216,-0.3482067,0.120859931842107,0.233607931052632,0.23837271,0.076126161842105,-0.041748893,0.60543376,0.60543376,0.24181437,0.272505823157895,1.44717676842105,4.32512534210527,6.446089,5.33775428421052,2.07496961578947,-3.5935786,-8.29142,-7.73174378947368,-7.01930296842105,-4.51406252631579,-2.04655419473684,0.110952351578955,1.46432207368421,1.50347987894737,1.0974422,0.3586812,-0.30496144,-0.0163813789473684,0.07646482,0.054168813,0.240845674736842,0.6642413,0.5132885,0.46896425,0.537647894736842,0.64067738,0.175162629473684,-1.0806828,-1.07176754736842,-0.237774158947368,0.288186287894737,0.34925416,0.16924013,0.19108722,0.2662053,0.30780455
